Unnamed: 0,Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,SimillarHTTP, Inbound, Label
101418,172.16.0.5-192.168.50.1-43443-6652-17,172.16.0.5,43443,192.168.50.1,6652,17,2018-12-01 12:36:57.628026,218395,6,0,2088.0,0.0,393.0,321.0,348.0,35.08845964131227,0.0,0.0,0.0,0.0,9560.6584399826,27.47315643673161,43679.0,59812.246960802266,110075.0,0.0,218395.0,43679.0,59812.246960802266,110075.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-6,0,27.47315643673161,0.0,321.0,393.0,344.1428571428572,33.61759743263722,1130.1428571428567,0,0,0,0,0,0,0,0,0.0,401.5,348.0,0.0,-6,0,0,0,0,0,0,6,2088,0,0,-1,-1,5,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,DrDoS_UDP
21564,172.16.0.5-192.168.50.1-54741-9712-17,172.16.0.5,54741,192.168.50.1,9712,17,2018-12-01 12:36:57.628076,108219,4,0,1398.0,0.0,369.0,330.0,349.5,22.516660498395403,0.0,0.0,0.0,0.0,12918.249105979541,36.96208614014175,36073.0,62478.53673062454,108217.0,1.0,108219.0,36073.0,62478.53673062454,108217.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-4,0,36.96208614014175,0.0,330.0,369.0,345.6,21.36117974270148,456.3,0,0,0,0,0,0,0,0,0.0,432.0,349.5,0.0,-4,0,0,0,0,0,0,4,1398,0,0,-1,-1,3,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,DrDoS_UDP
23389,172.16.0.5-192.168.50.1-56589-4680-17,172.16.0.5,56589,192.168.50.1,4680,17,2018-12-01 12:36:57.628164,104579,4,0,1438.0,0.0,389.0,330.0,359.5,34.06366588218791,0.0,0.0,0.0,0.0,13750.370533281059,38.24859675460657,34859.66666666667,60376.9817507743,104577.0,1.0,104579.0,34859.66666666667,60376.9817507743,104577.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-4,0,38.248596754606574,0.0,330.0,389.0,353.6,32.3156308928048,1044.3,0,0,0,0,0,0,0,0,0.0,442.0,359.5,0.0,-4,0,0,0,0,0,0,4,1438,0,0,-1,-1,3,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,DrDoS_UDP
48872,172.16.0.5-192.168.50.1-40233-2644-17,172.16.0.5,40233,192.168.50.1,2644,17,2018-12-01 12:36:57.628166,110967,4,0,1544.0,0.0,389.0,383.0,386.0,3.4641016151377544,0.0,0.0,0.0,0.0,13914.04651833428,36.04675263817171,36989.0,64065.095270357626,110965.0,1.0,110967.0,36989.0,64065.095270357626,110965.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-4,0,36.04675263817171,0.0,383.0,389.0,386.6,3.286335345030997,10.8,0,0,0,0,0,0,0,0,0.0,483.25,386.0,0.0,-4,0,0,0,0,0,0,4,1544,0,0,-1,-1,3,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,DrDoS_UDP
80354,172.16.0.5-192.168.50.1-33989-16901-17,172.16.0.5,33989,192.168.50.1,16901,17,2018-12-01 12:36:57.628217,1,2,0,766.0,0.0,383.0,383.0,383.0,0.0,0.0,0.0,0.0,0.0,7.66E8,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-2,0,2000000.0,0.0,383.0,383.0,383.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,574.5,383.0,0.0,-2,0,0,0,0,0,0,2,766,0,0,-1,-1,1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,DrDoS_UDP
85311,172.16.0.5-192.168.50.1-54768-57581-17,172.16.0.5,54768,192.168.50.1,57581,17,2018-12-01 12:36:57.628219,109952,4,0,1446.0,0.0,393.0,330.0,361.5,36.373066958946424,0.0,0.0,0.0,0.0,13151.193247962749,36.37951105937137,36650.66666666667,63479.084747130175,109950.0,1.0,109952.0,36650.66666666667,63479.084747130175,109950.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-4,0,36.37951105937137,0.0,330.0,393.0,355.2,34.50652112282547,1190.7,0,0,0,0,0,0,0,0,0.0,444.0,361.5,0.0,-4,0,0,0,0,0,0,4,1446,0,0,-1,-1,3,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,DrDoS_UDP
55736,172.16.0.5-192.168.50.1-58417-6927-17,172.16.0.5,58417,192.168.50.1,6927,17,2018-12-01 12:36:57.628221,770657,16,0,5940.0,0.0,401.0,330.0,371.25,26.41590430025063,0.0,0.0,0.0,0.0,7707.709136490033,20.761506091555646,51377.13333333334,56847.72759231035,111031.0,0.0,770657.0,51377.13333333334,56847.72759231035,111031.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-16,0,20.76150609155565,0.0,330.0,401.0,372.5294117647059,26.11541127155291,682.0147058823529,0,0,0,0,0,0,0,0,0.0,395.8125,371.25,0.0,-16,0,0,0,0,0,0,16,5940,0,0,-1,-1,15,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,DrDoS_UDP
93075,172.16.0.5-192.168.50.1-58450-9815-17,172.16.0.5,58450,192.168.50.1,9815,17,2018-12-01 12:36:57.628336,212482,6,0,2088.0,0.0,393.0,321.0,348.0,35.08845964131227,0.0,0.0,0.0,0.0,9826.714733483306,28.23768601575663,42496.4,58238.06781478933,109612.0,1.0,212482.0,42496.4,58238.06781478933,109612.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-6,0,28.23768601575663,0.0,321.0,393.0,344.1428571428572,33.61759743263722,1130.1428571428567,0,0,0,0,0,0,0,0,0.0,401.5,348.0,0.0,-6,0,0,0,0,0,0,6,2088,0,0,-1,-1,5,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,DrDoS_UDP
11999,172.16.0.5-192.168.50.1-50402-7375-17,172.16.0.5,50402,192.168.50.1,7375,17,2018-12-01 12:36:57.628580,107419,4,0,1398.0,0.0,369.0,330.0,349.5,22.516660498395403,0.0,0.0,0.0,0.0,13014.457405114552,37.237360243532336,35806.33333333333,62016.65651527284,107417.0,1.0,107419.0,35806.33333333333,62016.65651527284,107417.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-4,0,37.237360243532336,0.0,330.0,369.0,345.6,21.36117974270148,456.3,0,0,0,0,0,0,0,0,0.0,432.0,349.5,0.0,-4,0,0,0,0,0,0,4,1398,0,0,-1,-1,3,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,DrDoS_UDP
91182,172.16.0.5-192.168.50.1-58792-38270-17,172.16.0.5,58792,192.168.50.1,38270,17,2018-12-01 12:36:57.628582,105770,4,0,1398.0,0.0,369.0,330.0,349.5,22.516660498395403,0.0,0.0,0.0,0.0,13217.358419211496,37.817906778859786,35256.66666666667,61025.63892605577,105723.0,1.0,105770.0,35256.66666666667,61025.63892605577,105723.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-4,0,37.81790677885978,0.0,330.0,369.0,345.6,21.36117974270148,456.3,0,0,0,0,0,0,0,0,0.0,432.0,349.5,0.0,-4,0,0,0,0,0,0,4,1398,0,0,-1,-1,3,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,DrDoS_UDP
